content,score
kecewa.. fitur pencairan instan tiba-tiba tidak bisa. padahal sudah percaya sama ekosistem bibit.. klo kayak gini orang yang menyimpan dana daruratnya direksadana yang ada fitur pencairan instan apa kabar... syarat dan ketentuan tidak ada masalah. hanya saja dari pihak kalian mengatakan fitur itu bisa digunakan kembali di tanggal 09/04/25. padahal kemarin saya coba iseng narik 100 ribu bisa dilakukan,1
"5 bintang lah buat aplikasinya semuanya aman dan lancar memang masih ada masalah di bagian penarikan uang nya itu butuh waktu 2 hari, kalau memang belum masuk di hari ke dua bisa (chat support) walaupun nunggu lama sekitar 2 jam tapi uang langsung masuk ke rekening kalau memang ada yang mengalami masalah yang sama di penarikan yang sangat lama bisa (chat support) nya, thanks bibit",5
"tempat investasi paling mudah dipelajari. UI nyaman dilihat, sistem mudah dan lengkap. terbaik dibandingkan aplikasi serupa. saran mungkin bisa ditambahkan model investasi Emas, crypto",4
"Kontrol investasi paling oke, menurutku. Secara ketersediaan tempat, berikut informasinya. Walau, masih agak sulit untuk paham poin-poinnya.",4
"aku saya lupa pin, saat ingin rubah pin di suruh masukan no KTP, udah 100 kali di coba malah no KTP tidak sesuai, padahal sudah benar KTP nya, tanya solusi ke WA admin gak ada respon, intinya tidak ada solusi dalam penyelesaian masalah.",1
"Fitur pencairan instannya patut dipertanyakan. Pencairan RDN instan katanya, tapi ketika WD malah harua nunggu 7 hari kerja. Di aplikasi lain apa yg dijanjikan beneran diberikan, pake bibit malah lambat. Nyesal pake appsnya",1
"Ini kenapa gk bisa login, pesan yg muncul bilang kalau sinyal nya jelek padahal sinyal ku bagus, nyoba login aplikasi lain lancar-lancar aja, tolong perbaiki dong",1
"Apk nya memang mudah di pahami untuk para pemula ( awam ), kenapa saya ranting bintang 1 ?, karena ini soal penarikan dan pembelian sangat lama butuh waktu 3-7 hari, tidak seperti apk lain nya hanya butuh beberapa menit untuk penarikan dan pembelian, saya mohon untuk bibit semoga bisa mempercepat masalah penarikan dan pembelian",1
aplikasinya bagus dan memiliki tampilan yang baik serta memberikan beberapa pengertian terkait istilah istilah yang ada. sehingga memudahkan pemakai aplikasi dalam membeli Reksadana dan lain lainnya,5
"Nyimpen Dana Darurat di produk Reksadana Pasar Uang yg ada logo pencairan Instan (logo petir), tapi pas melakukan penjualan buat pencairan Dana karena ada kebutuhan mendesak, malah Dana nya baru bisa cair butuh 7 hari kerjaa. kaloo fiturnya ngga bisa di pake ngapain di sediain, next kalo gini terus pindahin dana ke platfrom marketplace reksadana lain. SANGAT MENGECEWAKAN",1
